abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
providential	L19 U10	[ˌprɑːvɪˈdenʃl][sound:providential.mp3]<br />		<hr /><strong>构词</strong>　【根】pro-[forth]+vid[see]+-ent+-ial[a.], see forth→神的（因为只有神才可以真正看到未来）→a.天意的，幸运（的）<br />　　　【注】名词形式providence[n.天意，深谋远虑]<br /><strong>词根</strong>　<strong>vis, vid</strong>　词根vis和vid表示see[看]。visible[可见的]字面含义“able[-ible]to see[vis]”。<br /><strong>同根</strong>　improvise, provisional, provisory, revise, visionary, invidious, provident, providential, wit, unwitting<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>天意的，幸运（的）：</ins></strong>happening as if through <strong><ins>divine intervention</ins></strong><br /><strong>例</strong>　a providential escape　幸运的逃脱<br /><strong>近</strong>　lucky, fluky, fortuitous<br /><strong>反</strong>　unfortunate, mishap, hapless, ill-fated, ill-starred, luckless, star-crossed　不幸的<br />
provincial	L19 U10	[prəˈvɪnʃl][sound:provincial.mp3]<br />		<hr /><strong>构词</strong>　【联】省份[province]就国家而言→a.狭隘的<br />	<hr />【<strong>考法 1</strong>】<br />a./n. <strong><ins>狭隘（的）：</ins></strong><strong><ins>limited</ins></strong> in <strong><ins>perspective</ins></strong>; narrow and self-centered<br /><strong>例</strong>　an artist who has been criticized for being provincial　一个被批评非常狭隘的艺术家<br /><strong>近</strong>　illiberal, insular, parochial, sectarian, narrow-minded<br /><strong>反</strong>　ecumenical, broad-minded, catholic, cosmopolitan, liberal, open, open-minded, receptive, tolerant　世界范围的，开放的，包容的<br />
provisional	L19 U10	[prəˈvɪʒənl][sound:provisional.mp3]<br />		<hr /><strong>构词</strong>　【根】pro-[forth]+vis[see]+-ion+-al[a.], see forth, 目前的→a.临时的<br /><strong>词根</strong>　<strong>vis, vid</strong>　词根vis和vid表示see[看]。visible[可见的]字面含义“able[-ible]to see[vis]”。<br /><strong>同根</strong>　improvise, provisional, provisory, revise, visionary, invidious, provident, providential, wit, unwitting<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>临时的：</ins></strong>provided or serving only for the time being; <strong><ins>temporary</ins></strong><br /><strong>例</strong>　He was appointed provisional executor of the industrialist's vast estate．在遗嘱中，他被指定为那位实业家的庞大资产的临时保管人。<br /><strong>近</strong>　impermanent, interim, provisionary, short-term<br /><strong>反</strong>　long-term, permanent　永久的<br />
provisory	L19 U10	[prəˈvaɪzəri][sound:provisory.mp3]<br />		<hr /><strong>构词</strong>　【根】pro-[forth]+vis[see]+-ory[a.], provided that→a.有附带条件的；provisional→a.临时的<br /><strong>词根</strong>　<strong>vis, vid</strong>　词根vis和vid表示see[看]。visible[可见的]字面含义“able[-ible]to see[vis]”。<br /><strong>同根</strong>　improvise, provisional, provisory, revise, visionary, invidious, provident, providential, wit, unwitting<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>有附带条件的；临时的：</ins></strong>depending on a proviso; <strong><ins>conditional</ins></strong>; serving in a position for the time being<br /><strong>例</strong>　a provisory permit to block off the street while movie scenes were being shot　一个同意在电影拍摄期间封锁道路的临时许可<br /><strong>近</strong>　interim, provisional, provisionary, provisory<br /><strong>反</strong>　unconditional, long-term, permanent　无条件的，永久的<br />
provoke	L19 U10	[prəˈvoʊk][sound:provoke.mp3]<br />		<hr /><strong>构词</strong>　【根】pro-[forth]+voke[call], callforth, 吆喝着…向前（对马说“驾”）→vt.驱使，激起；这种不礼貌的行为所带来的后果→vt.激怒<br /><strong>词根</strong>　<strong>voc, vok</strong>　词根voc, vok对应于英文单词call[呼唤]。作名词时有时相当于同源词voice[声音]。vocabulary[words, 词汇]也是由词根voc构成的。<br /><strong>同根</strong>　advocate, equivocate, vociferous, vocation, convoke, evoke, invoke, provoke, revoke<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>激怒：</ins></strong>to <strong><ins>incite</ins></strong> to <strong><ins>anger</ins></strong> or resentment<br /><strong>例</strong>　His teasing finally provoked her．他的调戏最终把她激怒了。<br /><strong>近</strong>　arouse, excite, incite, instigate, pique, stimulate, stir, fire up<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>驱使，激起：</ins></strong>to <strong><ins>stir</ins></strong> to action or <strong><ins>feeling</ins></strong><br /><strong>例</strong>　rankings that are sure to provoke an argument among film critics　必将引发影评家们争论的排名<br /><strong>近</strong>　abet, ferment, foment, instigate, stir up, whip up<br />
pecuniary	L20 U01	[pɪˈkjuːnieri][sound:pecuniary.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>金钱上的：</ins></strong>of or relating to <strong><ins>money</ins></strong>, banking, or investments<br /><strong>例</strong>　The insurance company will compensate you for your pecuniary loss in the snow disaster．保险公司会赔偿你在雪灾中所蒙受的金钱损失。<br /><strong>近</strong>　fiscal, monetary, financial<br /><strong>反</strong>　nonfinancial　非财务的<br />
prowess	L20 U01	[ˈpraʊəs][sound:prowess.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>英勇，勇敢：</ins></strong><strong><ins>superior</ins></strong> strength, <strong><ins>courage</ins></strong>, or daring, especially in battle<br /><strong>例</strong>　his prowess on the football field　他在球场上过人的勇气<br /><strong>近</strong>　bravery, courageousness, daring, gallantry, guts, intrepidity<br /><strong>反</strong>　timid, cowardice, cravenness, dastardliness, poltroonery　胆小，懦弱<br />
prowl	L20 U01	[ˈpraʊl][sound:prowl.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>巡游以猎取食物；徘徊：</ins></strong>to <strong><ins>roam through</ins></strong> stealthily, as in <strong><ins>search of prey</ins></strong> or plunder<br /><strong>例</strong>　I prowled the shop looking for sales．我在商店里转悠，寻找打折商品。<br />
prude	L20 U01	[pruːd][sound:prude.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>过分正经的人：一个过分关心自己是否得体、谦逊或正确的人：</ins></strong>a person who is <strong><ins>greatly concerned</ins></strong> with <strong><ins>seemly behavior and morality</ins></strong> especially regarding sexual matters<br /><strong>例</strong>　a hypocritical prude　一个虚伪的过分正经的人<br /><strong>近</strong>　bluenose, moralist, puritan<br /><strong>反</strong>　immoralist　不道德的人<br />
prudent	L20 U01	[ˈpruːdnt][sound:prudent.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>明智的：</ins></strong>marked by <strong><ins>wisdom</ins></strong> or <strong><ins>judiciousness</ins></strong>; <strong><ins>wise</ins></strong><br /><strong>例</strong>　prudent advice　明智的建议<br /><strong>近</strong>　advisable, desirable, judicious, politic, tactical, intelligent<br /><strong>反</strong>　foolish　傻的<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>小心谨慎的，审慎的：</ins></strong>marked by <strong><ins>circumspection</ins></strong><br />
prudish	L20 U01	[ˈpruːdɪʃ][sound:prudish.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>过分守礼的：</ins></strong>marked by <strong><ins>prudery</ins></strong><br /><strong>例</strong>　By the prudish standards of the 19th century, any depiction of the nude was scandalous．根据19世纪的保守标准，任何对裸露的刻画描述都是下流无耻的。<br /><strong>近</strong>　nice-nelly, prim, puritanical<br />
prune	L20 U01	[pruːn][sound:prune.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>修剪；修整：</ins></strong>to cut off or remove dead or living parts or branches of (a plant, for example) to improve shape or growth<br /><strong>例</strong>　The students were asked to prune their essays．学生们被要求修改文章。<br /><strong>近</strong>　shave, shear, snip, trim<br />
pry	L20 U01	[praɪ][sound:pry.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>刺探，打听：</ins></strong>to look or <strong><ins>inquire closely</ins></strong>, <strong><ins>curiously</ins></strong>, or impertinently<br /><strong>例</strong>　Don't go prying into other people's business．别去打探别人的事。<br /><strong>近</strong>　interlope, intermeddle, intrude, nose, obtrude, snoop<br />
pseudonym	L20 U01	[ˈsuːdənɪm][sound:pseudonym.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>假名，笔名：</ins></strong>a <strong><ins>fictitious</ins></strong> name<br /><strong>例</strong>　the pseudonym of sb.　某人的笔名<br /><strong>近</strong>　alias, nom de guerre<br />
putative	L20 U01	[ˈpjuːtətɪv][sound:putative.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>推测的，假定的：</ins></strong>generally <strong><ins>regarded as such</ins></strong><br /><strong>例</strong>　putative customers in this market　市场中假定的客户群体<br /><strong>近</strong>　assumed, ostensible, presumed, reputed, seeming, supposed<br />
permeate	L20 U02	[ˈpзːrmieɪt][sound:permeate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>弥漫，渗透：</ins></strong>to <strong><ins>spread throughout</ins></strong><br /><strong>例</strong>　The smell of roast beef permeated the air．烤牛肉的气味弥漫在空气中。<br /><strong>近</strong>　interpenetrate, pervade, suffuse, transfuse<br />
puckish	L20 U02	[ˈpʌkɪʃ][sound:puckish.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>淘气的，顽皮的：</ins></strong><strong><ins>mischievous</ins></strong>; <strong><ins>impish</ins></strong><br /><strong>例</strong>　She had a puckish smile on her face．她脸上挂着顽皮的笑容。<br /><strong>近</strong>　devilish, impish, prankish, waggish<br /><strong>反</strong>　sober, grave, staid　严肃的<br />
puerile	L20 U02	[ˈpjʊrəl][sound:puerile.mp3]<br />		<hr /><strong>构词</strong>　【联】puer[pure]+-ile[a.]→a.幼稚的，不成熟的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>幼稚的，不成熟的：</ins></strong><strong><ins>immature</ins></strong>; lacking in adult experience or maturity<br /><strong>例</strong>　puerile remarks　幼稚的评论<br /><strong>近</strong>　adolescent, green, immature, unfledged, unformed, unripened<br /><strong>反</strong>　adult, experienced, grown-up, mature, ripe, sagacious　睿智的，成熟的<br />
puissance	L20 U02	[ˈpwɪsəns][sound:puissance.mp3]<br />		<hr /><strong>构词</strong>　【联】puiss[puls, push]+-ance[n.], 能够推动（社会的发展）→n.权力<br />　　　【反】impuissance[n.无权，虚弱]<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>权力：</ins></strong><strong><ins>power</ins></strong>; might<br /><strong>例</strong>　The president pledged to put the full puissance of the nation into the war effort．总统下令全国进入战争状态。<br /><strong>近</strong>　force, might, potency, strength, vigor, sinew<br /><strong>反</strong>　powerlessness, impotence, weakness　无力<br />
pulchritude	L20 U02	[ˈpʌlkrɪtjuːd][sound:pulchritude.mp3]<br />		<hr /><strong>构词</strong>　【联】pul[词根puls, impulse]+chr[cheer]+-itude[n.], 推动、促进愉快的属性或品质→n.美丽<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>美丽：</ins></strong>great physical <strong><ins>beauty</ins></strong> and appeal<br /><strong>反</strong>　ugliness, homeliness, hideousness　丑陋，平庸<br />
pulverize	L20 U02	[ˈpʌlvəraɪz][sound:pulverize.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>将…研磨成粉；将…彻底摧毁：</ins></strong>to pound, crush or grind to powder or dust; to bring to a <strong><ins>complete end</ins></strong> the physical soundness, existence, or usefulness of<br /><strong>例</strong>　Bits of pulverized rock filled the air．被碾碎的岩石碎片充斥在空气里。<br /><strong>反</strong>　solidify, build, construct, erect, put up, raise, rear, set up　硬化，构建<br />
punctilious	L20 U02	[pʌŋkˈtɪliəs][sound:punctilious.mp3]<br />		<hr /><strong>构词</strong>　【根】punct[prick]+il+-ious[a.], 能够注意像刺一样微小的事物→a.注意细节的，一丝不苟的<br /><strong>词根</strong>　<strong>pin, point, punct</strong>　词根punct表示prick[刺]。构成单词如puncture[刺穿]；punctuation[标点符号]来自标点符号的形状，例如句号（.）是“刺[punct]出来的点[point]”。此外，pin[针], pointed[尖的，锐利的]都与词根punct同源。<br /><strong>同根</strong>　compunction, pinnacle, pinpoint, pointer, punctilious, pungent<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>注意细节的，一丝不苟的：</ins></strong>strictly <strong><ins>attentive</ins></strong> to minute <strong><ins>details</ins></strong> of form in action or conduct<br /><strong>近</strong>　decorous, proper, starchy, stilted<br /><strong>反</strong>　remiss, slipshod, casual, easygoing, informal, laid-back, unceremonious　粗心的<br />
pundit	L20 U02	[ˈpʌndɪt][sound:pundit.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>权威人士，专家：</ins></strong>a person who gives <strong><ins>opinions</ins></strong> in an <strong><ins>authoritative</ins></strong> manner usually through the mass media<br /><strong>例</strong>　The new laptop has gotten a thumbs-up from industry pundits．新出的笔记本电脑受到了业界专家的一致好评。<br /><strong>近</strong>　savant, scholar<br />
pungent	L20 U02	[ˈpʌndʒənt][sound:pungent.mp3]<br />		<hr /><strong>构词</strong>　【根】pung[punct, prick]+-ent[a.], （话语）有刺的→a.辛辣的，讽刺的<br /><strong>词根</strong>　<strong>pin, point, punct</strong>　词根punct表示prick[刺]。构成单词如puncture[刺穿]；punctuation[标点符号]来自标点符号的形状，例如句号（.）是“刺[punct]出来的点[point]”。此外，pin[针], pointed[尖的，锐利的]都与词根punct同源。<br /><strong>同根</strong>　compunction, pinnacle, pinpoint, pointer, punctilious, pungent<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>辛辣的，讽刺的：</ins></strong>marked by the <strong><ins>use of wit</ins></strong> that is intended to <strong><ins>cause hurt feelings</ins></strong><br /><strong>例</strong>　pungent language　辛辣讽刺的语言<br /><strong>近</strong>　acerbic, acid, acrid, caustic, mordant, sardonic, scalding, scathing<br />
puny	L20 U02	[ˈpjuːni][sound:puny.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>微小的，弱小的：</ins></strong>of <strong><ins>inferior size</ins></strong>, strength, or significance; <strong><ins>weak</ins></strong><br /><strong>例</strong>　a puny youth/dog　一个弱小的年轻人/狗<br /><strong>近</strong>　diminutive, dwarfish, slight, subnormal<br /><strong>反</strong>　enormous, considerable, grand, husky, king-size, outsize, overscale, substantial, whacking, whopping　巨大的<br />
purlieu	L20 U03	[ˈpзːrluː][sound:purlieu.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>常去的地方：</ins></strong>a place for spending time or for <strong><ins>socializing</ins></strong><br /><strong>例</strong>　The restaurant, the preferred purlieu of the theatergoing crowd, is always packed an hour or two before showtime．观剧的人群经常去的那间餐厅总是在演出开始前一两个小时爆满。<br /><strong>近</strong>　haunt, rendezvous, resort, stamping ground, stomping ground<br /><hr />【<strong>考法 2</strong>】<br />n. <strong><ins>临近的地区：</ins></strong>an <strong><ins>adjoining region</ins></strong> or space<br /><strong>例</strong>　We stopped at one of the several pubs in the purlieus of the stadium．我们在体育馆附近的一间酒吧前停下来。<br /><strong>近</strong>　backyard, neighborhood, vicinage, vicinity<br />
purloin	L20 U03	[pзːrˈlɔɪn][sound:purloin.mp3]<br />		<hr /><strong>构词</strong>　【联】pur (se)[钱包]+lo (st)[丢失]+in[于]，钱包丢失于v.偷窃<br />　　　【根】pur[pro-, forth]+loin[long], 指“（手臂）向前[pur-]伸长[loin]”, 偷别人的东西<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>偷窃：</ins></strong>to <strong><ins>steal</ins></strong>, often in a violation of trust<br /><strong>例</strong>　fearing that someone might attempt to purloin a copy of the script for the show's season finale　害怕该剧的完季那集剧本被盗<br /><strong>近</strong>　appropriate, filch, pilfer, snitch, thieve<br />
purport	L20 U03	[ˈpзːrpɔːrt][sound:purport.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>声称，打算：</ins></strong>to state as a fact usually forcefully<br /><strong>例</strong>　a book that purports to tell the whole truth　一本声称讲出全部真相的书<br /><strong>近</strong>　claim, affirm, allege, assert, aver, avouch, avow, profess<br /><strong>反</strong>　deny, gainsay　否认，反对<br />
purvey	L20 U03	[pərˈveɪ][sound:purvey.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>（大量）供给，供应：</ins></strong>to <strong><ins>supply</ins></strong> (food, for example); furnish<br /><strong>例</strong>　a little shop purveying handmade merchandise　出售手工商品的小店<br />
pusillanimous	L20 U03	[ˌpjuːsɪˈlænɪməs][sound:pusillanimous.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>懦弱的，胆小得令人鄙视的：</ins></strong>lacking courage and resolution, marked by contemptible <strong><ins>timidity</ins></strong><br /><strong>例</strong>　pusillanimous politicians who vote according to whichever way the political wind is blowing　胆小懦弱的政客，舆论风吹向谁就投票给谁<br /><strong>近</strong>　craven, dastardly, gutless, poltroon, recreant, spineless<br /><strong>反</strong>　brave, courageous, daring, dauntless, doughty, gallant, gutsy, intrepid, lionhearted, stalwart, stout, stouthearted, valiant, valorous　勇敢的<br />
quack	L20 U03	[kwæk][sound:quack.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>骗子医生，江湖郎中：</ins></strong>a <strong><ins>pretender</ins></strong> to medical skill<br /><strong>例</strong>　Don't bother to see that guy, as I've heard he's a quack with no actual training．别再找他看病了，我听说他就是个没有真才实学的江湖郎中。<br /><strong>近</strong>　charlatan, fake, fraud, hoaxer, mountebank, phony<br /><strong>反</strong>　honest practitioner　诚实从业者<br />
quaff	L20 U03	[kwæf][sound:quaff.mp3]<br />		<hr /><strong>构词</strong>　【联】读音类似“夸父”，夸父追日，渴疾痛饮→v.大口地喝<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>大口地喝：</ins></strong>to <strong><ins>drink</ins></strong> (a beverage) <strong><ins>heartily</ins></strong><br /><strong>例</strong>　He stopped at a bar and quaffed a few beers．他在酒吧停下来，痛饮了几杯啤酒。<br /><strong>近</strong>　gulp, swig, swill<br />
quail	L20 U03	[kweɪl][sound:quail.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>胆怯，畏缩：</ins></strong>to shrink back in <strong><ins>fear</ins></strong>; <strong><ins>cower</ins></strong><br /><strong>例</strong>　She quailed at the thought of seeing him again．她想到还要再见他就害怕。<br /><strong>近</strong>　blench, cringe, recoil, shrink, wince<br /><strong>反</strong>　become resolute, give bold　变得坚决、大胆<br />
qualify	L20 U03	[ˈkwɑːlɪfaɪ][sound:qualify.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>限定：</ins></strong>to <strong><ins>reduce</ins></strong> from a <strong><ins>general</ins></strong> to a particular or restricted form<br /><strong>派</strong>　qualified adj．有限制的，不完全的<br />　　<strong>例</strong>　qualified support　有限的支持<br />　　<strong>反</strong>　unreserved, absolute, categorical　无保留的，不受限制的<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>使有资格，使有能力：</ins></strong>to <strong><ins>make competent</ins></strong> (as by training, skill, or ability) for a particular office or function<br /><strong>例</strong>　a qualified advice columnist　一个有能力的专栏作家<br /><strong>近</strong>　equip, fit, prepare, ready, season, train<br />
quandary	L20 U03	[ˈkwɑːndəri][sound:quandary.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>困惑，窘境：</ins></strong>a state of <strong><ins>perplexity</ins></strong> or <strong><ins>doubt</ins></strong><br /><strong>例</strong>　I've had two job offers, and I'm in a real quandary about/over which one to accept．我有两个工作机会，但实在是进退两难，不知道应该选哪一个。<br /><strong>近</strong>　catch-22, double bind<br /><strong>反</strong>　state of complete certainty　胸有成竹<br />
qualm	L20 U04	[kwɑːm][sound:qualm.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>担忧，不安：</ins></strong>a sudden <strong><ins>uneasy feeling</ins></strong> about the rightness<br /><strong>例</strong>　I have no qualms about recommending this approach.　我会没有疑虑地推荐这一方法。<br /><strong>近</strong>　compunction, misgiving, scruple<br />
quarantine	L20 U04	[ˈkwɔːrəntiːn][sound:quarantine.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>隔离：</ins></strong>enforced <strong><ins>isolation</ins></strong> or restriction of free movement imposed to prevent the spread of contagious disease<br /><strong>例</strong>　The cows will be kept in quarantine for another two weeks．牛群还需要被隔离观察两周。<br />
quash	L20 U04	[kwɔːʃ][sound:quash.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>镇压，阻止：</ins></strong>to <strong><ins>put a stop to</ins></strong> (something) by the use of force<br /><strong>例</strong>　quash a rebellion　镇压一次叛变<br /><strong>近</strong>　repress, squelch, subdue, suppress, clamp down on, crack down on<br /><strong>反</strong>　engender, foment　引起，煽动<br />
quell	L20 U04	[kwel][sound:quell.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>压制：</ins></strong>to put down forcibly; <strong><ins>suppress</ins></strong><br /><strong>例</strong>　quell riot　镇压骚乱<br /><strong>近</strong>　quash, repress, squash, squelch, subdue, suppress, clamp down on, crack down on<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>使平静，使安静：</ins></strong>to <strong><ins>pacify</ins></strong>; quiet<br /><strong>例</strong>　quell fears　减轻害怕<br /><strong>近</strong>　dumb, extinguish, hush, mute, settle<br /><strong>反</strong>　foment, instigate, rouse, incite　煽动<br />
quench	L20 U04	[kwentʃ][sound:quench.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>熄灭：</ins></strong>to <strong><ins>put out</ins></strong> (a fire, for example); extinguish<br /><strong>例</strong>　We thoroughly quenched the campfire before we headed to bed．我们在睡前把营火完全熄灭了。<br /><strong>近</strong>　blanket, douse, put out, snuff out<br /><strong>反</strong>　fire, ignite, inflame, kindle, light　点燃<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>使满足：</ins></strong>to <strong><ins>put a complete end to</ins></strong> (a physical need or desire)<br /><strong>例</strong>　This lemonade really quenches my thirst．这杯柠檬汁真是解渴。<br /><strong>近</strong>　assuage, sate, satiate, slake<br />
querulous	L20 U04	[ˈkwerələs][sound:querulous.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>抱怨的，爱发牢骚的：</ins></strong>habitually <strong><ins>complaining</ins></strong><br /><strong>例</strong>　a querulous voice　抱怨的声音<br /><strong>近</strong>　crabby, cranky, grouchy, grumpy<br /><strong>反</strong>　forbearing, long-suffering, patient, stoic, tolerant, uncomplaining　容忍的<br />
quibble	L20 U04	[ˈkwɪbl][sound:quibble.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>吹毛求疵：</ins></strong>to find fault or <strong><ins>criticize</ins></strong> for petty reasons; <strong><ins>cavil</ins></strong><br /><strong>例</strong>　She spent the entire evening quibbling about the historical inaccuracies in the television series on World War II．她一整晚都在对那部关于二战的电视剧里的历史错误吹毛求疵。<br /><strong>近</strong>　carp, cavil, fuss, niggle, nitpick<br />
quiescent	L20 U04	[kwiˈesnt][sound:quiescent.mp3]<br />		<hr /><strong>构词</strong>　【根】qui[quiet]+escent[a., become], （become) quiet→a.平静的，静止的<br /><strong>词根</strong>　<strong>qui (et)</strong>　<br /><strong>同根</strong>　acquiesce, quiescent, tranquility<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>平静的，静止的：</ins></strong>being <strong><ins>quiet</ins></strong>, still, or at rest; <strong><ins>inactive</ins></strong><br /><strong>例</strong>　a group of quiescent loungers　一群平静懒散的流浪汉<br /><strong>近</strong>　dull, inert, lethargic, sluggish, torpid<br /><strong>反</strong>　rambunctious, tumultuous, active, restlessly active　骚乱的<br />
quirky	L20 U04	[ˈkwзːrki][sound:quirky.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>古怪的，奇葩的：</ins></strong><strong><ins>different from the ordinary</ins></strong> in a way that causes curiosity or suspicion<br /><strong>例</strong>　styles her hair in a quirky way　用奇怪的方法设计发型<br /><strong>近</strong>　bizarre, eccentric, erratic, outlandish, peculiar, odd, strange, weird<br />
quixotic	L20 U04	[kwɪkˈsɑːtɪk][sound:quixotic.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>不切实际的，空想的：</ins></strong>having or marked by a tendency to be guided <strong><ins>more by ideals than by reality</ins></strong><br /><strong>例</strong>　She had quixotic dreams about the future．她对未来有着幻想。<br /><strong>近</strong>　impractical, ideal, romantic, starry, utopian, visionary<br /><strong>反</strong>　clear-eyed, clear-sighted　聪明的<br />
quota	L20 U05	[ˈkwoʊtə][sound:quota.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>配额，限额：</ins></strong>a <strong><ins>proportional</ins></strong> part or share<br /><strong>例</strong>　The department set new sales quotas in May．部门设定了五月的销售定额。<br /><strong>近</strong>　allowance, portion, proportion<br /><strong>反</strong>　unlimited number　不限数量<br />
quotidian	L20 U05	[kwoʊˈtɪdiən][sound:quotidian.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>每日的；平凡的：</ins></strong>everyday; <strong><ins>commonplace</ins></strong><br /><strong>例</strong>　plagued by a quotidian coughing　每天被咳嗽困扰<br /><strong>近</strong>　commonplace, everyday, frequent, ordinary, routine, ubiquitous<br /><strong>反</strong>　remarkable, striking, extraordinary, unusual, rare, infrequent, seldom　不平常的<br />
rabble	L20 U05	[ˈræbl][sound:rabble.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>混乱的人群；暴民；下层民众：</ins></strong>a <strong><ins>disorganized</ins></strong> or disorderly <strong><ins>crowd of people</ins></strong>; the lowest class of people<br /><strong>例</strong>　The crown prince was reminded that even the rabble deserved his attention and compassion．太子应该知道即使是草民，也值得他的关注和同情。<br /><strong>近</strong>　ragtag and bobtail, riffraff, scum, rag, trash, unwashed<br />
rabid	L20 U05	[ˈreɪbɪd][sound:rabid.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>狂热的，不冷静的：</ins></strong>extremely zealous or enthusiastic; <strong><ins>fanatical</ins></strong><br /><strong>例</strong>　soccer fans whose <strong><ins>rabid enthusiasm</ins></strong> makes them go berserk when their team wins　不冷静的粉丝们在球队获胜以后变得很狂暴<br /><strong>近</strong>　delirious, ferocious, feverish, fierce, frantic, frenetic, violent<br /><strong>反</strong>　logical, detached　合常理的，客观的<br />
racy	L20 U05	[ˈreɪsi][sound:racy.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>活泼生动的：</ins></strong><strong><ins>vigorous</ins></strong>; lively<br /><strong>例</strong>　vivid writing and a racy plot that keeps readers turning the pages　栩栩如生的手法和生动新鲜的情节让读者手不释卷<br /><strong>近</strong>　animate, brisk, frisky, jaunty, perky, spirited, vivacious<br /><strong>反</strong>　tame, dead, inactive, inanimate, lackadaisical, languid, languorous, leaden, lifeless, limp, listless, spiritless, vapid　乏味的，死气沉沉的<br />
